Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
nachstellen,stelle nach,stellst nach,stellt nach,stellte nach,nachgestellt,stellte nach,stell nach,stellt nach,haben
nachtanken,tanke nach,tankst nach,tankt nach,tankte nach,nachgetankt,tankte nach,tank nach,tankt nach,haben
nachtarocken,tarocke nach,tarockst nach,tarockt nach,tarockte nach,nachtarockt,tarockte nach,tarock nach,tarockt nach,haben
nächtigen,nächtige,nächtigst,nächtigt,nächtigte,genächtigt,nächtigte,nächtige,nächtigt,haben
nachtragen,trage nach,trägst nach,trägt nach,trug nach,nachgetragen,trüge nach,trag nach,tragt nach,haben
nachversteuern,versteuere nach,versteuerst nach,versteuert nach,versteuerte nach,nachversteuert,versteuerte nach,versteuere nach,versteuert nach,haben
nachvollziehen,vollziehe nach,vollziehst nach,vollzieht nach,vollzog nach,nachvollzogen,vollzöge nach,vollziehe nach,vollzieht nach,haben
nachweisen,weise nach,weist nach,weist nach,wies nach,nachgewiesen,wiese nach,weise nach,weist nach,haben
nachwürzen,würze nach,würzt nach,würzt nach,würzte nach,nachgewürzt,würzte nach,würz nach,würzt nach,haben
nachzählen,zähle nach,zählst nach,zählt nach,zählte nach,nachgezählt,zählte nach,zähl nach,zählt nach,haben
nacktbaden,bade nackt,badest nackt,badet nackt,badete nackt,nacktgebadet,badete nackt,bad nackt,badet nackt,haben
nageln,nagele,nagelst,nagelt,nagelte,genagelt,nagelte,nagele,nagelt,haben
nagen,nage,nagst,nagt,nagte,genagt,nagte,nag,nagt,haben
nahebringen,bringe nahe,bringst nahe,bringt nahe,brachte nahe,nahegebracht,brächte nahe,bring nahe,bringt nahe,haben
nahelegen,lege nahe,legst nahe,legt nahe,legte nahe,nahegelegt,legte nahe,leg nahe,legt nahe,haben
naheliegen,—,—,liegt nahe,lag nahe,nahegelegen,läge nahe,—,—,haben
nahen,nahe,nahst,naht,nahte,genaht,nahte,nahe,naht,haben
nähen,nähe,nähst,näht,nähte,genäht,nähte,nähe,näht,haben
näherbringen,bringe näher,bringst näher,bringt näher,brachte näher,nähergebracht,brächte näher,bring näher,bringt näher,haben
näherkommen,komme näher,kommst näher,kommt näher,kam näher,nähergekommen,käme näher,komm näher,kommt näher,sein
nähern,nähere,näherst,nähert,näherte,genähert,näherte,nähere,nähert,haben
nahestehen,stehe nahe,stehst nahe,steht nahe,stand nahe,nahegestanden,stände nahe,steh nahe,steht nahe,haben
nähren,nähre,nährst,nährt,nährte,genährt,nährte,nähr,nährt,haben
nangeln,nangele,nangelst,nangelt,nangelte,genangelt,nangelte,nangle,nangelt,haben
nappieren,nappiere,nappierst,nappiert,nappierte,nappiert,nappierte,nappiere,nappiert,haben
narkotisieren,narkotisiere,narkotisierst,narkotisiert,narkotisierte,narkotisiert,narkotisierte,narkotisiere,narkotisiert,haben
narren,narre,narrst,narrt,narrte,genarrt,narrte,narr,narrt,haben
nasalieren,nasaliere,nasalierst,nasaliert,nasalierte,nasaliert,nasalierte,nasalier,nasaliert,haben
naschen,nasche,naschst,nascht,naschte,genascht,naschte,nasche,nascht,haben
näseln,näsle,näselst,näselt,näselte,genäselt,näselte,näsle,näselt,haben
nasführen,nasführe,nasführst,nasführt,nasführte,genasführt,nasführte,nasführe,nasführt,haben
nassauern,nassauere,nassauerst,nassauert,nassauerte,genassauert,nassauerte,nassauer,nassauert,haben
nässen,nässe,nässt,nässt,nässte,genässt,nässte,näss,nässt,haben
nationalisieren,nationalisiere,nationalisierst,nationalisiert,nationalisierte,nationalisiert,nationalisierte,nationalisier,nationalisiert,haben
naturalisieren,naturalisiere,naturalisierst,naturalisiert,naturalisierte,naturalisiert,naturalisierte,naturalisier,naturalisiert,haben
navigieren,navigiere,navigierst,navigiert,navigierte,navigiert,navigierte,navigiere,navigiert,haben
nebeln,neble,nebelst,nebelt,nebelte,genebelt,nebelte,neble,nebelt,haben
nebeneinanderlegen,lege nebeneinander,legst nebeneinander,legt nebeneinander,legte nebeneinander,nebeneinandergelegt,legte nebeneinander,leg nebeneinander,legt nebeneinander,haben
necken,necke,neckst,neckt,neckte,geneckt,neckte,necke,neckt,haben
negieren,negiere,negierst,negiert,negierte,negiert,negierte,negiere,negiert,haben
negoziieren,negoziiere,negoziierst,negoziiert,negoziierte,negoziiert,negoziierte,negoziier,negoziiert,haben
nehmen,nehme,nimmst,nimmt,nahm,genommen,nähme,nimm,nehmt,haben
neiden,neide,neidest,neidet,neidete,geneidet,neidete,neide,neidet,haben
neigen,neige,neigst,neigt,neigte,geneigt,neigte,neig,neigt,haben
nennen,nenne,nennst,nennt,nannte,genannt,nennte,nenn,nennt,haben
neppen,neppe,neppst,neppt,neppte,geneppt,neppte,nepp,neppt,haben
nerven,nerve,nervst,nervt,nervte,genervt,nervte,nerve,nervt,haben
nesteln,nestle,nestelst,nestelt,nestelte,genestelt,nestelte,nestle,nestelt,haben
netzen,netze,netzt,netzt,netzte,genetzt,netzte,netz,netzt,haben
netzwerken,netzwerke,netzwerkst,netzwerkt,netzwerkte,genetzwerkt,netzwerkte,netzwerke,netzwerkt,haben
neuern,neuere,neuerst,neuert,neuerte,geneuert,neuerte,neuere,neuert,haben
neutralisieren,neutralisiere,neutralisierst,neutralisiert,neutralisierte,neutralisiert,neutralisierte,neutralisier,neutralisiert,haben
nibbeln,nibbele,nibbelst,nibbelt,nibbelte,genibbelt,nibbelte,nibbel,nibbelt,haben
nicken,nicke,nickst,nickt,nickte,genickt,nickte,nicke,nickt,haben
niederkämpfen,kämpfe nieder,kämpfst nieder,kämpft nieder,kämpfte nieder,niedergekämpft,kämpfte nieder,kämpf nieder,kämpft nieder,haben
niederknien,knie nieder,kniest nieder,kniet nieder,kniete nieder,niedergekniet,kniete nieder,knie nieder,kniet nieder,haben
niederkommen,komme nieder,kommst nieder,kommt nieder,kam nieder,niedergekommen,käme nieder,komm nieder,kommt nieder,sein
niedermetzeln,metzele nieder,metzelst nieder,metzelt nieder,metzelte nieder,niedergemetzelt,metzelte nieder,metzele nieder,metzelt nieder,haben
niederschießen,schieße nieder,schießt nieder,schießt nieder,schoss nieder,niedergeschossen,schösse nieder,schieß nieder,schießt nieder,haben
niederschlagen,schlage nieder,schlägst nieder,schlägt nieder,schlug nieder,niedergeschlagen,schlüge nieder,schlag nieder,schlagt nieder,haben
niederschreiben,schreibe nieder,schreibst nieder,schreibt nieder,schrieb nieder,niedergeschrieben,schriebe nieder,schreib nieder,schreibt nieder,haben
niedersetzen,setze nieder,setzt nieder,setzt nieder,setzte nieder,niedergesetzt,setzte nieder,setz nieder,setzt nieder,haben
niederstrecken,strecke nieder,streckst nieder,streckt nieder,streckte nieder,niedergestreckt,streckte nieder,streck nieder,streckt nieder,haben
niedertreten,trete nieder,trittst nieder,tritt nieder,trat nieder,niedergetreten,träte nieder,tritt nieder,tretet nieder,haben
nieseln,—,—,nieselt,nieselte,genieselt,nieselte,—,—,haben
niesen,niese,niest,niest,nieste,geniest,nieste,niese,niest,haben
nieten,niete,nietest,nietet,nietete,genietet,nietete,niet,nietet,haben
niffeln,niffele,niffelst,niffelt,niffelte,geniffelt,niffelte,niffele,niffelt,haben
niftern,niftere,nifterst,niftert,nifterte,geniftert,nifterte,niftere,niftert,haben
nippen,nippe,nippst,nippt,nippte,genippt,nippte,nipp,nippt,haben
nisten,niste,nistest,nistet,nistete,genistet,nistete,nist,nistet,haben
nitrieren,nitriere,nitrierst,nitriert,nitrierte,nitriert,nitrierte,nitriere,nitriert,haben
nivellieren,nivelliere,nivellierst,nivelliert,nivellierte,nivelliert,nivellierte,nivelliere,nivelliert,haben
nobilitieren,nobilitiere,nobilitierst,nobilitiert,nobilitierte,nobilitiert,nobilitierte,nobilitier,nobilitiert,haben
nölen,nöle,nölst,nölt,nölte,genölt,nölte,nöl,nölt,haben
nominalisieren,nominalisiere,nominalisierst,nominalisiert,nominalisierte,nominalisiert,nominalisierte,nominalisiere,nominalisiert,haben
nominieren,nominiere,nominierst,nominiert,nominierte,nominiert,nominierte,nominiere,nominiert,haben
nören,nöre,nörst,nört,nörte,genört,nörte,nör,nört,haben
nörgeln,nörgle,nörgelst,nörgelt,nörgelte,genörgelt,nörgelte,nörgle,nörgelt,haben
normalisieren,normalisiere,normalisierst,normalisiert,normalisierte,normalisiert,normalisierte,normalisier,normalisiert,haben
normen,normen,normst,normt,normte,genormt,normte,norm,normt,haben
normieren,normiere,normierst,normiert,normierte,normiert,normierte,normiere,normiert,haben
nostrifizieren,nostrifiziere,nostrifizierst,nostrifiziert,nostrifizierte,nostrifiziert,nostrifizierte,nostrifizier,nostrifiziert,haben
notieren,notiere,notierst,notiert,notierte,notiert,notierte,notiere,notiert,haben
nötigen,nötige,nötigst,nötigt,nötigte,genötigt,nötigte,nötige,nötigt,haben
notlanden,notlande,notlandest,notlandet,notlandete,notgelandet,notlandete,notlande,notlandet,sein
notoperieren,notoperiere,notoperierst,notoperiert,notoperierte,notoperiert,notoperierte,notoperier,notoperiert,haben
notschlachten,notschlachte,notschlachtest,notschlachtet,notschlachtete,notgeschlachtet,notschlachtete,notschlachte,notschlachtet,haben
nottun,—,—,tut not,tat not,notgetan,täte not,—,—,haben
notwassern,notwassere,notwasserst,notwassert,notwasserte,notgewassert,notwasserte,notwassere,notwassert,sein
novellieren,novelliere,novellierst,novelliert,novellierte,novelliert,novellierte,novellier,novelliert,haben
nuancieren,nuanciere,nuancierst,nuanciert,nuancierte,nuanciert,nuancierte,nuanciere,nuanciert,haben
nuckeln,nuckele,nuckelst,nuckelt,nuckelte,genuckelt,nuckelte,nuckele,nuckelt,haben
nüffeln,nüffel,nüffelst,nüffelt,nüffelte,genüffelt,nüffelte,nüffel,nüffelt,haben
nullen,nulle,nullst,nullt,nullte,genullt,nullte,nulle,nullt,haben
nummerieren,nummeriere,nummerierst,nummeriert,nummerierte,nummeriert,nummerierte,nummeriere,nummeriert,haben
nummern,nummere,nummerst,nummert,nummerte,genummert,nummerte,nummer,nummert,haben
nuscheln,nuschle,nuschelst,nuschelt,nuschelte,genuschelt,nuschelte,nuschle,nuschelt,haben
nuten,nute,nutest,nutet,nutete,genutet,nutete,nut,nutet,haben
nutrieren,nutriere,nutrierst,nutriert,nutrierte,nutriert,nutrierte,nutriere,nutriert,haben
nutzen,nutze,nutzt,nutzt,nutzte,genutzt,nutzte,nutze,nutzt,haben
nützen,nütze,nützt,nützt,nützte,genützt,nützte,nütze,nützt,haben
nutznießen,nutznieße,nutznießt,nutznießt,nutznießte,genutznießt,nutznießte,nutznieß,nutznießt,haben
obduzieren,obduziere,obduzierst,obduziert,obduzierte,obduziert,obduzierte,obduziere,obduziert,haben
obedieren,obediere,obedierst,obediert,obedierte,obediert,obedierte,obediere,obediert,haben
objektivieren,objektiviere,objektivierst,objektiviert,objektivierte,objektiviert,objektivierte,objektiviere,objektiviert,haben
objizieren,objiziere,objizierst,objiziert,objizierte,objiziert,objizierte,objiziere,objiziert,haben
obliegen,obliege,obliegst,obliegt,oblag,oblegen,obläge,oblieg,obliegt,sein
obligieren,obligiere,obligierst,obligiert,obligierte,obligiert,obligierte,obligier,obligiert,haben
oblomowieren,oblomowiere,oblomowierst,oblomowiert,oblomowierte,oblomowiert,oblomowierte,oblomowier,oblomowiert,haben
obsen,obse,obst,obst,obste,geobst,obste,obs,obst,haben
observieren,observiere,observierst,observiert,observierte,observiert,observierte,observiere,observiert,haben
obsiegen,obsiege,obsiegst,obsiegt,obsiegte,obsiegt,obsiegte,obsieg,obsiegt,haben
obsignieren,obsigniere,obsignierst,obsigniert,obsignierte,obsigniert,obsignierte,obsignier,obsigniert,haben
obstruieren,obstruiere,obstruierst,obstruiert,obstruierte,obstruiert,obstruierte,obstruiere,obstruiert,haben
obwalten,walte ob,waltest ob,waltet ob,waltete ob,obgewaltet,waltete ob,walte ob,waltet ob,haben
ochsen,ochse,ochst,ochst,ochste,geochst,ochste,ochs,ochst,haben
odeln,odele,odelst,odelt,odelte,geodelt,odelte,odele,odelt,haben
offenbaren,offenbare,offenbarst,offenbart,offenbarte,offenbart,offenbarte,offenbare,offenbart,haben
offenlegen,lege offen,legst offen,legt offen,legte offen,offengelegt,legte offen,leg offen,legt offen,haben
offenstehen,stehe offen,stehst offen,steht offen,stand offen,offengestanden,stünde offen,steh offen,steht offen,haben
offerieren,offeriere,offerierst,offeriert,offerierte,offeriert,offerierte,offeriere,offeriert,haben
öffnen,öffne,öffnest,öffnet,öffnete,geöffnet,öffnete,öffne,öffnet,haben
ohrfeigen,ohrfeige,ohrfeigst,ohrfeigt,ohrfeigte,geohrfeigt,ohrfeigte,ohrfeige,ohrfeigt,haben
okkupieren,okkupiere,okkupierst,okkupiert,okkupierte,okkupiert,okkupierte,okkupier,okkupiert,haben
oktavieren,oktaviere,oktavierst,oktaviert,oktavierte,oktaviert,oktavierte,oktaviere,oktaviert,haben
oktroyieren,oktroyiere,oktroyierst,oktroyiert,oktroyierte,oktroyiert,oktroyierte,oktroyier,oktroyiert,haben
okulieren,okuliere,okulierst,okuliert,okulierte,okuliert,okulierte,okulier,okuliert,haben
ölen,öle,ölst,ölt,ölte,geölt,ölte,öle,ölt,haben
onanieren,onaniere,onanierst,onaniert,onanierte,onaniert,onanierte,onaniere,onaniert,haben
ondulieren,onduliere,ondulierst,onduliert,ondulierte,onduliert,ondulierte,onduliere,onduliert,haben
opalisieren,opalisiere,opalisierst,opalisiert,opalisierte,opalisiert,opalisierte,opalisiere,opalisiert,haben
operationalisieren,operationalisiere,operationalisierst,operationalisiert,operationalisierte,operationalisiert,operationalisierte,operationalisiere,operationalisiert,haben
operieren,operiere,operierst,operiert,operierte,operiert,operierte,operiere,operiert,haben
opfern,opfere,opferst,opfert,opferte,geopfert,opferte,opfere,opfert,haben
opponieren,opponiere,opponierst,opponiert,opponierte,opponiert,opponierte,opponiere,opponiert,haben
optieren,optiere,optierst,optiert,optierte,optiert,optierte,optiere,optiert,haben
optimieren,optimiere,optimierst,optimiert,optimierte,optimiert,optimierte,optimiere,optimiert,haben
orakeln,orakle,orakelst,orakelt,orakelte,orakelt,orakelte,orakle,orakelt,haben
orchestrieren,orchestriere,orchestrierst,orchestriert,orchestrierte,orchestriert,orchestrierte,orchestrier,orchestriert,haben
ordern,ordere,orderst,ordert,orderte,geordert,orderte,ordere,ordert,haben
ordnen,ordne,ordnest,ordnet,ordnete,geordnet,ordnete,ordne,ordnet,haben
organisieren,organisiere,organisierst,organisiert,organisierte,organisiert,organisierte,organisiere,organisiert,haben
orgeln,orgele,orgelst,orgelt,orgelte,georgelt,orgelte,orgele,orgelt,haben
orientieren,orientiere,orientierst,orientiert,orientierte,orientiert,orientierte,orientiere,orientiert,haben
orten,orte,ortest,ortet,ortete,geortet,ortete,orte,ortet,haben
ösen,öse,öst,öst,öste,geöst,öste,ös,öst,haben
osten,oste,ostest,ostet,ostete,geostet,ostete,ost,ostet,haben
oszillieren,oszilliere,oszillierst,oszilliert,oszillierte,oszilliert,oszillierte,oszilliere,oszilliert,haben
outen,oute,outest,outet,outete,geoutet,outete,out,outet,haben
outrieren,outriere,outrierst,outriert,outrierte,outriert,outrierte,outriere,outriert,haben
outsourcen,outsource,outsourct,outsourct,outsourcte,outgesourct,outsourcte,outsource,outsourct,haben
ownen,owne,ownst,ownt,ownte,geownt,ownte,own,ownt,haben
oxidieren,oxidiere,oxidierst,oxidiert,oxidierte,oxidiert,oxidierte,oxidier,oxidiert,haben
oxydieren,oxydiere,oxydierst,oxydiert,oxydierte,oxydiert,oxydierte,oxydier,oxydiert,haben
ozonisieren,ozonisiere,ozonisierst,ozonisiert,ozonisierte,ozonisiert,ozonisierte,ozonisier,ozonisiert,haben
paaren,paare,paarst,paart,paarte,gepaart,paarte,paare,paart,haben
pachten,pachte,pachtest,pachtet,pachtete,gepachtet,pachtete,pachte,pachtet,haben
packen,packe,packst,packt,packte,gepackt,packte,pack,packt,haben
paddeln,paddle,paddelst,paddelt,paddelte,gepaddelt,paddelte,paddle,paddelt,sein
paffen,paffe,paffst,pafft,paffte,gepafft,paffte,paff,pafft,haben
paginieren,paginiere,paginierst,paginiert,paginierte,paginiert,paginierte,paginiere,paginiert,haben
paketieren,paketiere,paketierst,paketiert,paketierte,paketiert,paketierte,paketier,paketiert,haben
paktieren,paktiere,paktierst,paktiert,paktierte,paktiert,paktierte,paktiere,paktiert,haben
palavern,palavre,palaverst,palavert,palaverte,palavert,palaverte,palavere,palavert,haben
palen,pale,palst,palt,palte,gepalt,palte,pal,palt,haben
palisieren,palisiere,palisierst,palisiert,palisierte,palisiert,palisierte,palisier,palisiert,haben
pampern,pampere,pamperst,pampert,pamperte,gepampert,pamperte,pampere,pampert,haben
panaschieren,panaschiere,panaschierst,panaschiert,panaschierte,panaschiert,panaschierte,panaschiere,panaschiert,haben
paneelieren,paneeliere,paneelierst,paneeliert,paneelierte,paneeliert,paneelierte,paneelier,paneeliert,haben
panieren,paniere,panierst,paniert,panierte,paniert,panierte,paniere,paniert,haben
panschen,pansche,panschst,panscht,panschte,gepanscht,panschte,pansch,panscht,haben
pantschen,pantsche,pantschst,pantscht,pantschte,gepantscht,pantschte,pantsch,pantscht,haben
panzern,panzere,panzerst,panzert,panzerte,gepanzert,panzerte,panzere,panzert,haben
päppeln,päpple,päppelst,päppelt,päppelte,gepäppelt,päppelte,päpple,päppelt,haben
pappen,pappe,pappst,pappt,pappte,gepappt,pappte,papp,pappt,haben
parallelisieren,parallelisiere,parallelisierst,parallelisiert,parallelisierte,parallelisiert,parallelisierte,parallelisier,parallelisiert,haben
paralysieren,paralysiere,paralysierst,paralysiert,paralysierte,paralysiert,paralysierte,paralysiere,paralysiert,haben
parametrisieren,parametrisiere,parametrisierst,parametrisiert,parametrisierte,parametrisiert,parametrisierte,parametrisiere,parametrisiert,haben
paraphieren,paraphiere,paraphierst,paraphiert,paraphierte,paraphiert,paraphierte,paraphiere,paraphiert,haben
paraphrasieren,paraphrasiere,paraphrasierst,paraphrasiert,paraphrasierte,paraphrasiert,paraphrasierte,paraphrasier,paraphrasiert,haben
parfümieren,parfümiere,parfümierst,parfümiert,parfümierte,parfümiert,parfümierte,parfümier,parfümiert,haben
parieren,pariere,parierst,pariert,parierte,pariert,parierte,parier,pariert,haben
parken,parke,parkst,parkt,parkte,geparkt,parkte,parke,parkt,haben
parkieren,parkiere,parkierst,parkiert,parkierte,parkiert,parkierte,parkiere,parkiert,haben
parlieren,parliere,parlierst,parliert,parlierte,parliert,parlierte,parliere,parliert,haben
parodieren,parodiere,parodierst,parodiert,parodierte,parodiert,parodierte,parodier,parodiert,haben
parsen,parse,parst,parst,parste,geparst,parste,pars,parst,haben
partizipieren,partizipiere,partizipierst,partizipiert,partizipierte,partizipiert,partizipierte,partizipiere,partizipiert,haben
parzellieren,parzelliere,parzellierst,parzelliert,parzellierte,parzelliert,parzellierte,parzelliere,parzelliert,haben
passen,passe,passt,passt,passte,gepasst,passte,pass,passt,haben
passieren,passiere,passierst,passiert,passierte,passiert,passierte,passiere,passiert,haben
passivieren,passiviere,passivierst,passiviert,passivierte,passiviert,passivierte,passiviere,passiviert,haben
pasteurisieren,pasteurisiere,pasteurisierst,pasteurisiert,pasteurisierte,pasteurisiert,pasteurisierte,pasteurisiere,pasteurisiert,haben
patchen,patche,patchst,patcht,patchte,gepatcht,patchte,patche,patcht,haben
patentieren,patentiere,patentierst,patentiert,patentierte,patentiert,patentierte,patentiere,patentiert,haben
patinieren,patiniere,patinierst,patiniert,patinierte,patiniert,patinierte,patinier,patiniert,haben
patrouillieren,patrouilliere,patrouillierst,patrouilliert,patrouillierte,patrouilliert,patrouillierte,patrouilliere,patrouilliert,haben
patschen,patsche,patschst,patscht,patschte,gepatscht,patschte,patsch,patscht,haben
patzen,patze,patzt,patzt,patzte,gepatzt,patzte,patz,patzt,haben
pauken,pauke,paukst,paukt,paukte,gepaukt,paukte,pauk,paukt,haben
pauschalisieren,pauschalisiere,pauschalisierst,pauschalisiert,pauschalisierte,pauschalisiert,pauschalisierte,pauschalisiere,pauschalisiert,haben
pausieren,pausiere,pausierst,pausiert,pausierte,pausiert,pausierte,pausiere,pausiert,haben
pecken,pecke,peckst,peckt,peckte,gepeckt,peckte,pecke,peckt,haben
pedalieren,pedaliere,pedalierst,pedaliert,pedalierte,pedaliert,pedalierte,pedalier,pedaliert,haben
pedden,pedde,peddest,peddet,peddete,gepeddet,peddete,pedde,peddet,haben
peilen,peile,peilst,peilt,peilte,gepeilt,peilte,peil,peilt,haben
peinigen,peinige,peinigst,peinigt,peinigte,gepeinigt,peinigte,peinig,peinigt,haben
pellen,pelle,pellst,pellt,pellte,gepellt,pellte,pell,pellt,haben
pendeln,pendle,pendelst,pendelt,pendelte,gependelt,pendelte,pendle,pendelt,haben
penetrieren,penetriere,penetrierst,penetriert,penetrierte,penetriert,penetrierte,penetriere,penetriert,haben
pennen,penne,pennst,pennt,pennte,gepennt,pennte,penne,pennt,haben
peregrinieren,peregriniere,peregrinierst,peregriniert,peregrinierte,peregriniert,peregrinierte,peregrinier,peregriniert,haben
perennieren,perenniere,perennierst,perenniert,perennierte,perenniert,perennierte,perennier,perenniert,sein
perfektionieren,perfektioniere,perfektionierst,perfektioniert,perfektionierte,perfektioniert,perfektionierte,perfektioniere,perfektioniert,haben
perforieren,perforiere,perforierst,perforiert,perforierte,perforiert,perforierte,perforiere,perforiert,haben
perhorreszieren,perhorresziere,perhorreszierst,perhorresziert,perhorreszierte,perhorresziert,perhorreszierte,perhorresziere,perhorresziert,haben
periodisieren,periodisiere,periodisierst,periodisiert,periodisierte,periodisiert,periodisierte,periodisier,periodisiert,haben
perlen,perle,perlst,perlt,perlte,geperlt,perlte,perl,perlt,haben
perpetuieren,perpetuiere,perpetuierst,perpetuiert,perpetuierte,perpetuiert,perpetuierte,perpetuiere,perpetuiert,haben
perseverieren,perseveriere,perseverierst,perseveriert,perseverierte,perseveriert,perseverierte,perseveriere,perseveriert,haben
persiflieren,persifliere,persiflierst,persifliert,persiflierte,persifliert,persiflierte,persifliere,persifliert,haben
persistieren,persistiere,persistierst,persistiert,persistierte,persistiert,persistierte,persistier,persistiert,haben
personalisieren,personalisiere,personalisierst,personalisiert,personalisierte,personalisiert,personalisierte,personalisiere,personalisiert,haben
personifizieren,personifiziere,personifizierst,personifiziert,personifizierte,personifiziert,personifizierte,personifizier,personifiziert,haben
persuadieren,persuadiere,persuadierst,persuadiert,persuadierte,persuadiert,persuadierte,persuadiere,persuadiert,haben
perzipieren,perzipiere,perzipierst,perzipiert,perzipierte,perzipiert,perzipierte,perzipiere,perzipiert,haben
pesen,pese,pest,pest,peste,gepest,peste,pes,pest,sein
petrifizieren,petrifiziere,petrifizierst,petrifiziert,petrifizierte,petrifiziert,petrifizierte,petrifiziere,petrifiziert,sein
petten,pette,pettest,pettet,pettete,gepettet,pettete,pette,pettet,haben
petzen,petze,petzt,petzt,petzte,gepetzt,petzte,petz,petzt,haben
pfählen,pfähle,pfählst,pfählt,pfählte,gepfählt,pfählte,pfähle,pfählt,haben
pfänden,pfände,pfändest,pfändet,pfändete,gepfändet,pfändete,pfänd,pfändet,haben
pfeffern,pfeffere,pfefferst,pfeffert,pfefferte,gepfeffert,pfefferte,pfeffere,pfeffert,haben
pfeifen,pfeife,pfeifst,pfeift,pfiff,gepfiffen,pfiffe,pfeif,pfeift,haben
pferchen,pferche,pferchst,pfercht,pferchte,gepfercht,pferchte,pferch,pfercht,haben
pfetzen,pfetze,pfetzt,pfetzt,pfetzte,gepfetzt,pfetzte,pfetz,pfetzt,haben
pflanzen,pflanze,pflanzt,pflanzt,pflanzte,gepflanzt,pflanzte,pflanze,pflanzt,haben
pflastern,pflastere,pflasterst,pflastert,pflasterte,gepflastert,pflasterte,pflastere,pflastert,haben
pflegen,pflege,pflegst,pflegt,pflegte,gepflegt,pflegte,pflege,pflegt,haben
pflücken,pflücke,pflückst,pflückt,pflückte,gepflückt,pflückte,pflücke,pflückt,haben
pflügen,pflüge,pflügst,pflügt,pflügte,gepflügt,pflügte,pflüg,pflügt,haben
pfriemeln,pfriemele,pfriemelst,pfriemelt,pfriemelte,gepfriemelt,pfriemelte,pfriemele,pfriemelt,haben
pfropfen,pfropfe,pfropfst,pfropft,pfropfte,gepfropft,pfropfte,pfropf,pfropft,haben
pfupfern,pfupfere,pfupferst,pfupfert,pfupferte,gepfupfert,pfupferte,pfupfer,pfupfert,haben
pfuschen,pfusche,pfuscht,pfuscht,pfuschte,gepfuscht,pfuschte,pfusch,pfuscht,haben
pfuzgen,pfuzge,pfuzgest,pfuzget,pfuzgte,pfuzget,pfuzgte,pfuzge,pfuzget,haben
pharyngalisieren,pharyngalisiere,pharyngalisierst,pharyngalisiert,pharyngalisierte,pharyngalisiert,pharyngalisierte,pharyngalisiere,pharyngalisiert,haben
philosophieren,philosophiere,philosophierst,philosophiert,philosophierte,philosophiert,philosophierte,philosophiere,philosophiert,haben
photokopieren,photokopiere,photokopierst,photokopiert,photokopierte,photokopiert,photokopierte,photokopier,photokopiert,haben
picheln,pichele,pichelst,pichelt,pichelte,gepichelt,pichelte,pichel,pichelt,haben
pichen,piche,pichst,picht,pichte,gepicht,pichte,pich,picht,haben
picken,picke,pickst,pickt,pickte,gepickt,pickte,picke,pickt,haben
pieken,pieke,piekst,piekt,piekte,gepiekt,piekte,piek,piekt,haben
pieksen,piekse,piekst,piekst,piekste,gepiekst,piekste,pieks,piekst,haben
piepen,piepe,piepst,piept,piepte,gepiept,piepte,piep,piept,haben
piepsen,piepse,piepst,piepst,piepste,gepiepst,piepste,piepse,piepst,haben
piercen,pierce,pierct,pierct,piercte,gepierct,piercte,pierce,pierct,haben
piesacken,piesacke,piesackst,piesackt,piesackte,gepiesackt,piesackte,piesacke,piesackt,haben
pieschern,piescher,piescherst,pieschert,piescherte,gepieschert,piescherte,piescher,pieschert,haben
pieseln,piesle,pieselst,pieselt,pieselte,gepieselt,pieselte,piesel,pieselt,haben
piken,pike,pikst,pikt,pikte,gepikt,pikte,pik,pikt,haben
pikieren,pikiere,pikierst,pikiert,pikierte,pikiert,pikierte,pikier,pikiert,haben
piksen,pikse,pikst,pikst,pikste,gepikst,pikste,piks,pikst,haben
pilgern,pilgere,pilgerst,pilgert,pilgerte,gepilgert,pilgerte,pilgere,pilgert,sein
pilotieren,pilotiere,pilotierst,pilotiert,pilotierte,pilotiert,pilotierte,pilotiere,pilotiert,haben
pimpern,pimpere,pimperst,pimpert,pimperte,gepimpert,pimperte,pimpere,pimpert,haben
pingen,pinge,pingst,pingt,pingte,gepingt,pingte,ping,pingt,haben
pinkeln,pinkle,pinkelst,pinkelt,pinkelte,gepinkelt,pinkelte,pinkele,pinkelt,haben
pinnen,pinne,pinnst,pinnt,pinnte,gepinnt,pinnte,pinn,pinnt,haben
pinseln,pinsle,pinselst,pinselt,pinselte,gepinselt,pinselte,pinsle,pinselt,haben
pirouettieren,pirouettiere,pirouettierst,pirouettiert,pirouettierte,pirouettiert,pirouettierte,pirouettier,pirouettiert,haben
pirschen,pirsche,pirschst,pirscht,pirschte,gepirscht,pirschte,pirsch,pirscht,haben
pispern,pispere,pisperst,pispert,pisperte,gepispert,pisperte,pisper,pispert,haben
pissen,pisse,pisst,pisst,pisste,gepisst,pisste,pisse,pisst,haben
placken,placke,plackst,plackt,plackte,geplackt,plackte,plack,plackt,haben
pladdern,—,—,pladdert,pladderte,gepladdert,pladderte,—,—,haben
plädieren,plädiere,plädierst,plädiert,plädierte,plädiert,plädierte,plädiere,plädiert,haben
plagen,plage,plagst,plagt,plagte,geplagt,plagte,plag,plagt,haben
