Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
shoppen,shoppe,shoppst,shoppt,shoppte,geshoppt,shoppte,shoppe,shoppt,haben
shorten,shorte,shortest,shortet,shortete,geshortet,shortete,shorte,shortet,haben
shukan,shuka,shukast,shukat,shukate,geshukat,shukate,shuka,shukat,haben
shuttlen,shuttle,shuttlest,shuttlet,shuttlete,geshuttlet,shuttlete,shuttle,shuttlet,haben
sicheln,sichele,sichelst,sichelt,sichelte,gesichelt,sichelte,sichele,sichelt,haben
sichern,sichere,sicherst,sichert,sicherte,gesichert,sicherte,sichere,sichert,haben
sicherstellen,stelle sicher,stellst sicher,stellt sicher,stellte sicher,sichergestellt,stellte sicher,stell sicher,stellt sicher,haben
sichten,sichte,sichtest,sichtet,sichtete,gesichtet,sichtete,sichte,sichtet,haben
sicken,sicke,sickst,sickt,sickte,gesickt,sickte,sick,sickt,haben
sickern,sickere,sickerst,sickert,sickerte,gesickert,sickerte,sickere,sickert,sein
sieben,siebe,siebst,siebt,siebte,gesiebt,siebte,sieb,siebt,haben
siechen,sieche,siechst,siecht,siechte,gesiecht,siechte,sieche,siecht,haben
siedeln,siedle,siedelst,siedelt,siedelte,gesiedelt,siedelte,siedle,siedelt,haben
sieden,siede,siedest,siedet,sott,gesotten,sötte,sied,siedet,haben
siegeln,siegele,siegelst,siegelt,siegelte,gesiegelt,siegelte,siegel,siegelt,haben
siegen,siege,siegst,siegt,siegte,gesiegt,siegte,siege,siegt,haben
siezen,sieze,siezt,siezt,siezte,gesiezt,siezte,sieze,siezt,haben
signalisieren,signalisiere,signalisierst,signalisiert,signalisierte,signalisiert,signalisierte,signalisiere,signalisiert,haben
signieren,signiere,signierst,signiert,signierte,signiert,signierte,signiere,signiert,haben
silikonieren,silikoniere,silikonierst,silikoniert,silikonierte,silikoniert,silikonierte,silikonier,silikoniert,haben
silikonisieren,silikonisiere,silikonisierst,silikonisiert,silikonisierte,silikonisiert,silikonisierte,silikonisier,silikonisiert,haben
simmelieren,simmeliere,simmelierst,simmeliert,simmelierte,simmeliert,simmelierte,simmelier,simmeliert,haben
simplifizieren,simplifiziere,simplifizierst,simplifiziert,simplifizierte,simplifiziert,simplifizierte,simplifiziere,simplifiziert,haben
simsen,simse,simst,simst,simste,gesimst,simste,sims,simst,haben
simulieren,simuliere,simulierst,simuliert,simulierte,simuliert,simulierte,simuliere,simuliert,haben
singen,singe,singst,singt,sang,gesungen,sänge,singe,singt,haben
sinken,sinke,sinkst,sinkt,sank,gesunken,sänke,sinke,sinkt,sein
sinnen,sinne,sinnst,sinnt,sann,gesonnen,sänne,sinne,sinnt,haben
sinnieren,sinniere,sinnierst,sinniert,sinnierte,sinniert,sinnierte,sinnier,sinniert,haben
sirren,sirre,sirrst,sirrt,sirrte,gesirrt,sirrte,sirre,sirrt,haben
sistieren,sistiere,sistierst,sistiert,sistierte,sistiert,sistierte,sistiere,sistiert,haben
situieren,situiere,situierst,situiert,situierte,situiert,situierte,situier,situiert,haben
sitzen,sitze,sitzt,sitzt,saß,gesessen,säße,sitz,sitzt,haben
skalieren,skaliere,skalierst,skaliert,skalierte,skaliert,skalierte,skaliere,skaliert,haben
skalpieren,skalpiere,skalpierst,skalpiert,skalpierte,skalpiert,skalpierte,skalpiere,skalpiert,haben
skandalisieren,skandalisiere,skandalisierst,skandalisiert,skandalisierte,skandalisiert,skandalisierte,skandalisiere,skandalisiert,haben
skandieren,skandiere,skandierst,skandiert,skandierte,skandiert,skandierte,skandiere,skandiert,haben
skartieren,skartiere,skartierst,skartiert,skartierte,skartiert,skartierte,skartier,skartiert,haben
skaten,skate,skatest,skatet,skatete,geskatet,skatete,skate,skatet,haben
skizzieren,skizziere,skizzierst,skizziert,skizzierte,skizziert,skizzierte,skizziere,skizziert,haben
skoptisieren,skoptisiere,skoptisierst,skoptisiert,skoptisierte,skoptisiert,skoptisierte,skoptisiere,skoptisiert,haben
skypen,skype,skypst,skypt,skypte,geskypt,skypte,skyp,skypt,haben
sniffen,sniffe,sniffst,snifft,sniffte,gesnifft,sniffte,sniff,snifft,haben
snöben,snöbe,snöbst,snöbt,snöbte,gesnöbt,snöbte,snöb,snöbt,haben
snowboarden,snowboarde,snowboardest,snowboardet,snowboardete,gesnowboardet,snowboardete,snowboard,snowboardet,sein
socken,socke,sockst,sockt,sockte,gesockt,sockte,sock,sockt,sein
sohlen,sohle,sohlst,sohlt,sohlte,gesohlt,sohlte,sohl,sohlt,haben
solidarisieren,solidarisiere,solidarisierst,solidarisiert,solidarisierte,solidarisiert,solidarisierte,solidarisier,solidarisiert,haben
sollen,soll,sollst,soll,sollte,gesollt,sollte,—,—,haben
sollizitieren,sollizitiere,sollizitierst,sollizitiert,sollizitierte,sollizitiert,sollizitierte,sollizitiere,sollizitiert,haben
solmisieren,solmisiere,solmisierst,solmisiert,solmisierte,solmisiert,solmisierte,solmisiere,solmisiert,haben
